country,full_name,Symbol,Activity,Sector,first_obs,last_real,n_months,avg_mv,cluster,keep
FR,Sofitam,936809,Dead,Unclassified,1996-01-01,1996-05-01,4.0,350.87399999999997,0,False
FR,Sophia,F:IR@F,Dead,Real Estate Investment and Services,1996-01-01,2005-01-01,108.0,706.078990825688,0,True
FR,Sophia,F:SFB,Dead,Real Estate Investment and Services,1996-01-01,2000-10-01,57.0,533.0484482758621,0,False
IT,Aedes,I:AE,Active,Real Estate Investment and Services,1996-01-01,2025-12-01,359.0,146.05747222222223,0,True
IT,Aedes,I:AEDE,Dead,Real Estate Investment Trusts,2019-01-01,2023-05-01,52.0,48.228113207547175,1,True
IT,Banca Popolare Cremona,I:PCRE,Dead,Banks,1996-01-01,2004-05-01,100.0,335.9681188118812,0,True
IT,Banca Popolare Cremona,I:PCR9,Dead,Banks,1999-02-01,1999-06-01,4.0,74.37,0,False
IT,Calcemento,I:CAL,Dead,Construction and Materials,1996-01-01,2000-06-01,53.0,199.6625925925926,0,True
IT,Calcemento,779009,Dead,Construction and Materials,1996-01-01,1997-01-01,12.0,169283.4853846154,0,False
IT,Edison,I:EDN,Dead,"Gas, Water and Multi-utilities",1996-01-01,2012-10-01,201.0,4660.391782178218,0,True
IT,Edison,I:EDS,Dead,Electricity,1996-01-01,2002-05-01,76.0,4848.201298701299,1,True
IT,Guala Closures,I:GUAL,Dead,General Industrials,2005-12-01,2008-10-01,34.0,320.8342857142857,0,True
IT,Guala Closures,I:SPAE,Dead,General Industrials,2018-01-01,2021-07-01,42.0,444.6227906976744,1,True
IT,Italgas,929400,Dead,"Gas, Water and Multi-utilities",1996-01-01,2003-03-01,86.0,2981.69183908046,0,True
IT,Italgas,I:IG,Active,"Gas, Water and Multi-utilities",2016-12-01,2025-12-01,108.0,4488.285045871559,1,True
IT,Montedison,I:M,Dead,General Industrials,1996-01-01,2000-12-01,59.0,4051.325166666667,0,True
IT,Parmalat,I:PAT,Dead,Food Producers,2005-11-01,2019-03-01,160.0,4125.753167701863,0,True
IT,Parmalat,I:PRF,Dead,Food Producers,1996-01-01,2004-01-01,96.0,2066.0265979381443,1,True
IT,Telecom Italia RNC,I:TIR,Dead,Telecommunications Service Providers,1996-01-01,2003-08-01,91.0,9834.718804347825,0,True
IT,Telecom Italia RNC,I:SIPN,Dead,Telecommunications Service Providers,1996-01-01,1997-08-01,19.0,4536957.1,0,False
IT,Telecom Italia,I:TIT,Active,Telecommunications Service Providers,1996-01-01,2025-12-01,359.0,12150.20511111111,0,True
IT,Telecom Italia,I:TI,Dead,Telecommunications Service Providers,1996-01-01,2003-08-01,91.0,41468.62391304348,0,False
IT,Telecom Italia,I:SIP,Dead,Telecommunications Service Providers,1996-01-01,1997-08-01,19.0,24401393.0,0,False
IT,Toro,I:TO,Dead,Non-life Insurance,1996-01-01,2001-01-01,60.0,980.7424590163935,0,True
IT,Toro,I:TORO,Dead,Non-life Insurance,2005-06-01,2007-01-01,19.0,3086.8435,1,True
